,id,title,tags
0,615656,Meg 2: The Trench,action sciencefict horror benwheatley an exploratori dive into the deepest depth of the ocean of a dare research team spiral into chao when a malevol mine oper threaten their mission and forc them into a high-stak battl for survival. apellesentertain jasonstatham wuje shuyasophiacai base on novel or book sequel kaiju meg 2: the trench
1,758323,The Pope's Exorcist,horror mysteri thriller juliusaveri father gabriel amorth chief exorcist of the vatican investig a young boy' terrifi possess and end up uncov a centuries-old conspiraci the vatican ha desper tri to keep hidden. screengem russellcrow danielzovatto alexesso spain rome itali vatican pope pig possess conspiraci devil exorcist skeptic cathol priest 1980 supernatur horror the pope' exorcist
2,667538,Transformers: Rise of the Beasts,action adventur sciencefict stevencaplejr. when a new threat capabl of destroy the entir planet emerg optimu prime and the autobot must team up with a power faction known as the maximals. with the fate of human hang in the balanc human noah and elena will do whatev it take to help the transform as they engag in the ultim battl to save earth. skydanc anthonyramo dominiquefishback lunalaurenvelez peru alien end of the world base on cartoon base on toy robot duringcreditssting 1990 brother brother relationship transformers: rise of the beast
3,640146,Ant-Man and the Wasp: Quantumania,action adventur sciencefict peytonre super-hero partner scott lang and hope van dyne along with with hope' parent janet van dyne and hank pym and scott' daughter cassi lang find themselv explor the quantum realm interact with strang new creatur and embark on an adventur that will push them beyond the limit of what they thought possible. marvelstudio paulrudd evangelinelilli jonathanmajor hero ant sequel superhero base on comic famili superhero team aftercreditssting duringcreditssting marvel cinemat univers (mcu) ant-man and the wasp: quantumania
4,677179,Creed III,drama action michaelb.jordan after domin the box world adoni creed ha been thrive in both hi career and famili life. when a childhood friend and former box prodigi damien anderson resurfac after serv a long sentenc in prison he is eager to prove that he deserv hi shot in the ring. the face-off between former friend is more than just a fight. to settl the score adoni must put hi futur on the line to battl damien — a fighter who ha noth to lose. metro michaelb.jordan tessathompson jonathanmajor philadelphia pennsylvania husband wife relationship deaf sport sequel orphan former best friend ex con childhood friend juvenil detent center box prodigi creed iii
5,385687,Fast X,action crime thriller louisleterri over mani mission and against imposs odd dom toretto and hi famili have outsmart out-nerv and outdriven everi foe in their path. now they confront the most lethal oppon they'v ever faced: a terrifi threat emerg from the shadow of the past who' fuel by blood reveng and who is determin to shatter thi famili and destroy everything—and everyone—that dom love forever. universalpictur vindiesel michellerodriguez tyresegibson sequel reveng race famili cliffhang car fast x
6,614479,Insidious: The Red Door,horror mysteri thriller patrickwilson to put their demon to rest onc and for all josh lambert and a college-ag dalton lambert must go deeper into the further than ever befor face their family' dark past and a host of new and more horrifi terror that lurk behind the red door. blumhouseproduct tysimpkin patrickwilson sinclairdaniel sequel demon franchis insidi supernatur horror evil spirit directori debut fifth part insidious: the red door
7,646389,Plane,action adventur thriller jean-françoisrichet after a heroic job of success land hi storm-damag aircraft in a war zone a fearless pilot find himself between the agenda of multipl militia plan to take the plane and it passeng hostage. madriverpictur gerardbutl mikecolt yosonan pilot airplan philippin held hostag plane crash plane
8,569094,Spider-Man: Across the Spider-Verse,action adventur anim sciencefict joaquimdossanto after reunit with gwen staci brooklyn’ full-tim friendli neighborhood spider-man is catapult across the multivers where he encount the spider societi a team of spider-peopl charg with protect the multiverse’ veri existence. but when the hero clash on how to handl a new threat mile find himself pit against the other spider and must set out on hi own to save those he love most. columbiapictur shameikmoor haileesteinfeld briantyreehenri sacrific villain comic book sequel superhero base on comic altern dimens altern version super power brooklyn new york citi superhero team spider bite super villain cliffhang teen superhero altern univers femal superhero cartoon spider spider-man: across the spider-vers
9,447277,The Little Mermaid,adventur famili fantasi romanc ronclement the youngest of king triton’ daughter and the most defiant ariel long to find out more about the world beyond the sea and while visit the surfac fall for the dash princ eric. with mermaid forbidden to interact with human ariel make a deal with the evil sea witch ursula which give her a chanc to experi life on land but ultim place her life – and her father’ crown – in jeopardy. waltdisneypictur hallebailey jonahhau king music mermaid base on fairi tale live action remak the littl mermaid
10,594767,Shazam! Fury of the Gods,"action comedi fantasi adventur davidf.sandberg billi batson and hi foster sibl who transform into superhero by say ""shazam!"" are forc to get back into action and fight the daughter of atla who they must stop from use a weapon that could destroy the world. newlinecinema zacharylevi asherangel jackdylangraz superhero end of the world super power aftercreditssting duringcreditssting dc extend univers (dceu) teenag shazam! furi of the god"
11,968051,The Nun II,horror mysteri thriller michaelchav in 1956 franc a priest is violent murder and sister iren begin to investigate. she onc again come face-to-fac with a power evil. newlinecinema taissafarmiga jonasbloquet stormreid franc bulli sequel religion demon gothic horror demon possess pray duringcreditssting all girl school 1950 demon convent the conjur univers the nun ii
12,670292,The Creator,sciencefict action thriller garethedward amid a futur war between the human race and the forc of artifici intellig a harden ex-speci forc agent griev the disappear of hi wife is recruit to hunt down and kill the creator the elus architect of advanc ai who ha develop a mysteri weapon with the power to end the war—and mankind itself. newregencypictur johndavidwashington madeleineyunavoyl gemmachan artifici intellig (a.i.) asia distant futur space station child ex special forc miss wife robot war against machin the creator
13,758009,Shotgun Wedding,action romanc comedi jasonmoor darci and tom gather their famili for the ultim destin wed but when the entir parti is taken hostag “’til death do us part” take on a whole new mean in thi hilari adrenaline-fuel adventur as darci and tom must save their love ones—if they don’t kill each other first. lionsgat jenniferlopez joshduhamel jennifercoolidg wed hostag situat shotgun wed
14,447365,Guardians of the Galaxy Vol. 3,action sciencefict adventur jamesgunn peter quill still reel from the loss of gamora must ralli hi team around him to defend the univers along with protect one of their own. a mission that if not complet success could quit possibl lead to the end of the guardian as we know them. marvelstudio chrispratt zoesaldaña davebautista hero sequel superhero base on comic mad scientist superhero team space opera raccoon aftercreditssting duringcreditssting marvel cinemat univers (mcu) cosmic outer space chosen famili guardian of the galaxi vol. 3
15,762430,Retribution,action mysteri thriller crime danidelatorr when a mysteri caller put a bomb under hi car seat matt turner begin a high-spe chase across the citi to complet a specif seri of tasks. with hi kid trap in the back seat and a bomb that will explod if they get out of the car a normal commut becom a twist game of life or death as matt follow the stranger' increasingli danger instruct in a race against time to save hi family. studiocan liamneeson nomadumezweni lillyaspel bomb assassin remak divorc duringcreditssting phone call berlin retribut
16,315162,Puss in Boots: The Last Wish,anim famili fantasi adventur comedi joelcrawford puss in boot discov that hi passion for adventur ha taken it toll: he ha burn through eight of hi nine live leav him with onli one life left. puss set out on an epic journey to find the mythic last wish and restor hi nine lives. dreamworksanim antoniobandera salmahayekpinault harveyguillén fairi tale talk dog spin off aftercreditssting talk cat fear of death puss in boots: the last wish
17,614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,anim comedi action jeffrow after year of be shelter from the human world the turtl brother set out to win the heart of new yorker and be accept as normal teenag through heroic acts. their new friend april o'neil help them take on a mysteri crime syndic but they soon get in over their head when an armi of mutant is unleash upon them. paramount micahabbey shamonbrownjr. nicolascantu new york citi sibl relationship skateboard crime fighter turtl superhero ninja duringcreditssting teenag mutant ninja turtl aspir journalist anthropomorph anim teenag mutant ninja turtles: mutant mayhem
